121,Suffering Bastard,"4 oz Ginger Beer
0.5 oz Lime Juice
0.25 oz Demerara Syrup
1 oz London Dry Gin
1 oz Bourbon
2 Dashes Angostura Bitters",Shake,Cracked Ice,,Tiki Glass,Open Pour
122,Tarzan,"1 oz Gin
1 oz Campari
1.5 oz Pineapple Juice
0.5 oz Simple Syrup
0.5 oz Lemon Juice
Top Setlzer",Shake double strain ,Ice Spear,Orange Peel,Collins,
123,Tequila Sunrise,"1.5 oz Blanco Tequila
3 oz Orange Juice
Float Grenadine",Shake,Straight Up,Orange Wheel,Collins,
124,The 20th Century Cocktail,"0.75 Lemon Juice
0.5 oz Creme De Cacao
.75 Lillet Blanc
1.5 oz London Dry Gin",Shake,Straight Up,Lemon Twist,Nick and Nora,1. Add all ingrediants into shaker with ice and shake 2. Strain into glass
125,The Star,"1.5 oz Applejack
1.5 oz Sweet Vermouth
3 dashes Angostura Bitters
2 Dashes Gum Syrup",Stir,Straight Up,Lemon Twist,Nick and Nora,
126,Tom Collins,"2 oz Gin
1 oz Lemon Juice
.25 oz  Simple Syrup",Shake,Ice Spear,,Collins,1. Combine all ingrediants  except the seltzer and shake with ice 2. Strain ingrediants into glass 3. Top with seltzer
127,Trident Sunrise,"2 oz Blanco Tequila
0.5 oz Crème de Casis
0.75 oz Lime Juice
0.5 oz Grenadine
Top Seltzer",Shake double strain ,On the Rocks,Lime Wheel,Collins,
128,Trinidad Sour,"1.5 oz Angostura Bitters
0.5 oz Rye Whiskey
0.75 oz Lemon Juice
1 oz Oregeat
",Shake,Straight Up,,Coupe,
129,Ulanda,"0.75 Triple Sec
0.25 tsp Anis
1.5 oz Gin",Shake,Straight Up,,Cocktail Glass,
130,Vesper Martini,"3 oz London Dry Gin
1 oz Vodka
0.5 oz Lillet Blanc
2 Dashes Angostura Bitters",Stir,Straight Up,Lemon Twist,Coupe,
131,Ward Eight,"0.25 oz Grenadine
.25 oz Orange Juice
.5 oz Lemon Juice
2 oz Rye",Shake,Straight Up,Cherries,Old Fashioned,1. Add the ingredients to your cocktail shaker and fill with ice 2. Shake & strain into glass 3. Top with seltzer 4. Garnish with cherries. 
132,Ward Eight & 1/2,"0.5 oz  Grenadine
0.5 oz Lemon Juice
.25 oz Blood Orange Juice
2 oz. Rye",Shake,Straight Up,Angostura Bitters,Coupe,1. Combine all ingrediants in shaker with egg white and dry shake 2. Add ice and shake 3. Strain into glass 4. Line top with bitters
133,Whiskey Smash,"2 oz Bourbon
0.75 Lemon Juice
0.75 oz Simple Syrup (1:1)
4-6 Mint Leaves",Shake double strain ,Cracked Ice,Mint Sprig,Old Fashioned,1. Add the ingredients to your cocktail shaker and fill with ice 2. Shake & double strain over fresh ice into a double old fashioned glass 3. Garnish with a sprig of mint
134,Whiskey Sour,"2 oz Rye
.5 oz Simple Syrup
.75 oz Lemon Juice
1 Egg White
4 Drops Bitters",Shake,Straight Up,,Old Fashioned,1. Add all ingrediants into shaker with egg white and dry shake 2. Add ice and shake 3. Strain into glass
135,White Lady,"1.5 oz Gin
1 oz Cointreau
0.5 oz Lemon Juice
1 Egg White",Shake double strain ,Straight Up,,Coupe,
